Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
138,99755.3,648.155,0.011806,-0.644265,-0.89519,0.0149824,0.000312843,1011.2,95188.7,648.137,100753.0,739.162,97245.8,703.567
141,98561.5,646.139,0.0245089,-0.62909,-0.894761,0.0360077,0.000754521,620.277,95183.3,646.115,99168.8,737.994,96381.7,703.84
144,97496.9,644.255,0.0362087,-0.615284,-0.894346,0.047116,0.000990693,398.354,96329.6,644.239,98340.5,738.103,95803.2,706.333
147,96556.5,642.484,0.047069,-0.602711,-0.893919,0.054849,0.00115724,324.921,97201.1,925.758,98530.3,740.17,95798.6,711.261
150,95739.7,640.828,0.0571318,-0.591342,-0.893537,0.0605896,0.00128271,383.291,100204.0,932.049,99864.3,744.616,96447.6,717.304
153,95040.5,639.275,0.0664976,-0.581077,-0.893177,0.0649629,0.00137994,560.987,103942.0,938.509,101774.0,750.432,97105.0,723.296
156,94453.6,637.844,0.0750909,-0.571944,-0.892899,0.0683116,0.00145587,869.958,106590.0,941.163,104229.0,757.526,97945.6,727.786
159,93974.0,636.547,0.082851,-0.56396,-0.892751,0.0708483,0.00151472,1360.36,108952.0,941.627,107185.0,765.619,98963.6,731.174
162,93598.6,635.402,0.0897038,-0.557163,-0.892794,0.0727068,0.00155909,2054.26,111320.0,940.0,110122.0,773.664,99713.5,734.268
165,93324.3,634.423,0.0955725,-0.551592,-0.893086,0.0739806,0.00159076,2878.35,113146.0,934.561,112800.0,781.387,99999.5,737.661
